id,disease,complaint
89,COVID-19,"Doktor bey, iki gündür tat duyum kayboldu ve kas ve eklem ağrılarım var."
90,COVID-19,"Doktor bey, son birkaç gündür çok halsizim, geceleri artan öksürüğüm var ve kas ve eklem ağrılarım var."
91,COVID-19,"Hocam, iki gündür kuru öksürüğüm var, balgamsız öksürüyorum ve tat duyum kayboldu."
92,COVID-19,"Doktor hanım, son birkaç gündür başım ağrıyor, koku alamıyorum ve yorgunluk hissediyorum."
93,COVID-19,"Doktor bey, üç gündür burun akıntım var, tat duyum kayboldu ve enerjim yok."
94,COVID-19,"Hocam, bir haftadır baş ağrısı eşlik ediyor ve boğazımda yanma var."
95,COVID-19,"Hocam, bir haftadır vücut ağrısı hissediyorum, baş ağrısı eşlik ediyor ve ateşim çıkıyor."
96,COVID-19,"Doktor hanım, bir haftadır ateşim çıkıyor ve kas ve eklem ağrılarım var."
97,COVID-19,"Doktor bey, bir haftadır koku alamıyorum ve ateşim çıkıyor."
98,COVID-19,"Hocam, iki gündür geceleri artan öksürüğüm var ve vücut ağrısı hissediyorum."
99,COVID-19,"Hocam, iki gündür çok halsizim ve koku alamıyorum."
100,COVID-19,"Doktor hanım, bir haftadır ateşim çıkıyor, vücut ağrısı hissediyorum ve merdiven çıkınca nefes nefese kalıyorum."
101,COVID-19,"Hocam, dünden beri nefes darlığım var ve balgamsız öksürüyorum."
102,COVID-19,"Doktor bey, dünden beri çok halsizim ve kuru öksürüğüm var."
103,COVID-19,"Hocam, iki gündür tat duyum kayboldu, balgamsız öksürüyorum ve kas ve eklem ağrılarım var."
104,COVID-19,"Doktor bey, sabahtan beri ateşim çıkıyor ve yüksek ateşim oluyor."
105,COVID-19,"Hocam, dünden beri bulantım var ve çok halsizim."
106,COVID-19,"Doktor bey, üç gündür boğazımda yanma var ve tat duyum kayboldu."
107,COVID-19,"Doktor hanım, iki gündür koku alamıyorum ve başım ağrıyor."
108,COVID-19,"Hocam, iki gündür başım ağrıyor, ateşim çıkıyor ve kuru öksürüğüm var."
109,COVID-19,"Doktor bey, bir haftadır nefes darlığım var ve vücut ağrısı hissediyorum."
110,COVID-19,"Doktor bey, dünden beri kuru öksürüğüm var, kuru öksürüğüm var ve nefes darlığım var."
111,COVID-19,"Doktor hanım, sabahtan beri merdiven çıkınca nefes nefese kalıyorum, merdiven çıkınca nefes nefese kalıyorum ve burun tıkanıklığım var."
112,COVID-19,"Doktor bey, üç gündür ara sıra kusuyorum ve ateşim var."
113,COVID-19,"Hocam, son birkaç gündür balgamsız öksürüyorum ve bulantım var."
114,COVID-19,"Doktor bey, iki gündür ara sıra kusuyorum ve koku alamıyorum."
115,COVID-19,"Doktor hanım, dünden beri koku alamıyorum ve yorgunluk hissediyorum."
116,COVID-19,"Hocam, bir haftadır vücut ağrısı hissediyorum ve balgamsız öksürüyorum."
117,COVID-19,"Doktor hanım, üç gündür yutkunurken boğazım acıyor ve yüksek ateşim oluyor."
118,COVID-19,"Doktor bey, üç gündür baş ağrısı eşlik ediyor ve başım ağrıyor."
119,COVID-19,"Hocam, üç gündür tat duyum kayboldu, enerjim yok ve yorgunluk hissediyorum."
120,COVID-19,"Hocam, üç gündür başım ağrıyor, tat duyum kayboldu ve tat ve koku alamıyorum."
121,COVID-19,"Hocam, sabahtan beri yorgunluk hissediyorum ve yorgunluk hissediyorum."
122,COVID-19,"Doktor bey, bir haftadır yüksek ateşim oluyor ve baş ağrısı eşlik ediyor."
123,COVID-19,"Doktor hanım, iki gündür geceleri artan öksürüğüm var ve kas ve eklem ağrılarım var."
124,COVID-19,"Doktor bey, bir haftadır yorgunluk hissediyorum ve kas ve eklem ağrılarım var."
125,COVID-19,"Hocam, sabahtan beri tat ve koku alamıyorum ve yorgunluk hissediyorum."
126,COVID-19,"Doktor hanım, sabahtan beri yüksek ateşim oluyor ve koku alamıyorum."
127,COVID-19,"Doktor bey, sabahtan beri yorgunluk hissediyorum, burnum sürekli akıyor ve baş ağrısı eşlik ediyor."
128,COVID-19,"Doktor hanım, üç gündür koku alamıyorum ve balgamsız öksürüyorum."
129,COVID-19,"Doktor hanım, iki gündür ateşim var, ateşim var ve vücut ağrısı hissediyorum."
130,COVID-19,"Hocam, üç gündür geceleri artan öksürüğüm var ve nefes darlığım var."
131,COVID-19,"Doktor bey, üç gündür baş ağrısı eşlik ediyor, tat duyum kayboldu ve enerjim yok."
132,COVID-19,"Doktor bey, son birkaç gündür nefes darlığım var ve yutkunurken boğazım acıyor."
133,COVID-19,"Doktor bey, dünden beri tat duyum kayboldu ve ishalim var."
134,COVID-19,"Doktor bey, iki gündür ateşim çıkıyor ve tat ve koku alamıyorum."
135,COVID-19,"Doktor bey, dünden beri merdiven çıkınca nefes nefese kalıyorum ve koku alamıyorum."
136,COVID-19,"Hocam, sabahtan beri geceleri artan öksürüğüm var ve geceleri artan öksürüğüm var."
137,COVID-19,"Doktor hanım, sabahtan beri baş ağrısı eşlik ediyor ve tat ve koku alamıyorum."
138,COVID-19,"Doktor bey, bir haftadır geceleri artan öksürüğüm var, yorgunluk hissediyorum ve sulu dışkılama oldu."
139,COVID-19,"Doktor bey, son birkaç gündür tat ve koku alamıyorum ve nefes darlığım var."
140,COVID-19,"Doktor bey, dünden beri burun akıntım var ve vücut ağrısı hissediyorum."
141,COVID-19,"Hocam, iki gündür ishalim var ve boğazım ağrıyor."
142,COVID-19,"Doktor hanım, dünden beri balgamsız öksürüyorum ve geceleri artan öksürüğüm var."
143,COVID-19,"Hocam, dünden beri yorgunluk hissediyorum ve baş ağrısı eşlik ediyor."
144,COVID-19,"Hocam, sabahtan beri yüksek ateşim oluyor ve balgamsız öksürüyorum."
145,COVID-19,"Doktor bey, son birkaç gündür sulu dışkılama oldu ve enerjim yok."
146,COVID-19,"Doktor hanım, dünden beri yorgunluk hissediyorum ve kas ve eklem ağrılarım var."
147,COVID-19,"Hocam, üç gündür kas ve eklem ağrılarım var ve ateşim 38 derece civarında."
148,COVID-19,"Doktor hanım, üç gündür ateşim var, balgamsız öksürüyorum ve tat ve koku alamıyorum."
149,COVID-19,"Doktor hanım, dünden beri ateşim var ve nefes darlığım var."
150,COVID-19,"Doktor hanım, son birkaç gündür ateşim var ve merdiven çıkınca nefes nefese kalıyorum."
151,COVID-19,"Doktor hanım, iki gündür burun akıntım var ve merdiven çıkınca nefes nefese kalıyorum."
152,COVID-19,"Doktor hanım, dünden beri merdiven çıkınca nefes nefese kalıyorum ve ateşim var."
153,COVID-19,"Doktor hanım, dünden beri merdiven çıkınca nefes nefese kalıyorum ve koku alamıyorum."
154,COVID-19,"Doktor hanım, bir haftadır ateşim 38 derece civarında ve nefes darlığım var."
155,COVID-19,"Doktor hanım, sabahtan beri vücut ağrısı hissediyorum ve sulu dışkılama oldu."
156,COVID-19,"Hocam, son birkaç gündür baş ağrısı eşlik ediyor ve nefes darlığım var."
157,COVID-19,"Doktor bey, iki gündür çok halsizim, boğazımda yanma var ve vücut ağrısı hissediyorum."
158,COVID-19,"Hocam, üç gündür koku alamıyorum ve balgamsız öksürüyorum."
159,COVID-19,"Doktor hanım, sabahtan beri geceleri artan öksürüğüm var ve koku alamıyorum."
160,COVID-19,"Hocam, dünden beri yüksek ateşim oluyor, yorgunluk hissediyorum ve balgamsız öksürüyorum."
161,COVID-19,"Hocam, son birkaç gündür nefes darlığım var ve geceleri artan öksürüğüm var."
162,COVID-19,"Doktor hanım, üç gündür merdiven çıkınca nefes nefese kalıyorum, tat ve koku alamıyorum ve ateşim 38 derece civarında."
163,COVID-19,"Hocam, son birkaç gündür nefes darlığım var ve koku alamıyorum."
164,COVID-19,"Doktor hanım, üç gündür geceleri artan öksürüğüm var ve nefes darlığım var."
165,COVID-19,"Hocam, iki gündür yüksek ateşim oluyor, tat duyum kayboldu ve tat duyum kayboldu."
166,COVID-19,"Doktor hanım, son birkaç gündür başım ağrıyor ve balgamsız öksürüyorum."
167,COVID-19,"Hocam, bir haftadır balgamsız öksürüyorum ve kas ve eklem ağrılarım var."
168,COVID-19,"Doktor hanım, iki gündür ateşim 38 derece civarında ve geceleri artan öksürüğüm var."
169,COVID-19,"Doktor bey, üç gündür ateşim var ve vücut ağrısı hissediyorum."
170,COVID-19,"Doktor bey, bir haftadır koku alamıyorum ve çok halsizim."
171,COVID-19,"Hocam, bir haftadır merdiven çıkınca nefes nefese kalıyorum, kuru öksürüğüm var ve merdiven çıkınca nefes nefese kalıyorum."
172,COVID-19,"Doktor hanım, sabahtan beri vücut ağrısı hissediyorum, ateşim çıkıyor ve bulantım var."
173,COVID-19,"Doktor hanım, bir haftadır vücut ağrısı hissediyorum, tat duyum kayboldu ve çok halsizim."
174,COVID-19,"Doktor bey, sabahtan beri ateşim 38 derece civarında, nefes darlığım var ve ateşim çıkıyor."
175,COVID-19,"Doktor bey, üç gündür geceleri artan öksürüğüm var ve balgamsız öksürüyorum."
176,COVID-19,"Doktor hanım, sabahtan beri kas ve eklem ağrılarım var ve vücut ağrısı hissediyorum."
177,COVID-19,"Hocam, iki gündür tat duyum kayboldu, tat ve koku alamıyorum ve nefes darlığım var."
178,COVID-19,"Hocam, üç gündür yüksek ateşim oluyor, yutkunurken boğazım acıyor ve balgamsız öksürüyorum."
179,COVID-19,"Doktor bey, son birkaç gündür başım ağrıyor ve yorgunluk hissediyorum."
180,COVID-19,"Doktor hanım, sabahtan beri başım ağrıyor, nefes darlığım var ve ateşim çıkıyor."
181,COVID-19,"Doktor bey, bir haftadır tat ve koku alamıyorum ve vücut ağrısı hissediyorum."
182,COVID-19,"Hocam, son birkaç gündür çok halsizim ve tat duyum kayboldu."
183,COVID-19,"Doktor hanım, son birkaç gündür nefes darlığım var, baş ağrısı eşlik ediyor ve baş ağrısı eşlik ediyor."
184,COVID-19,"Hocam, sabahtan beri başım ağrıyor ve başım ağrıyor."
185,COVID-19,"Doktor bey, son birkaç gündür boğazım ağrıyor ve yüksek ateşim oluyor."
186,COVID-19,"Doktor bey, dünden beri kuru öksürüğüm var ve merdiven çıkınca nefes nefese kalıyorum."
187,COVID-19,"Doktor hanım, sabahtan beri balgamsız öksürüyorum ve başım ağrıyor."
188,COVID-19,"Doktor bey, son birkaç gündür ateşim 38 derece civarında, enerjim yok ve ateşim çıkıyor."
189,COVID-19,"Doktor hanım, üç gündür burun tıkanıklığım var ve ateşim çıkıyor."
190,COVID-19,"Doktor hanım, üç gündür vücut ağrısı hissediyorum ve yüksek ateşim oluyor."
191,COVID-19,"Doktor bey, dünden beri tat ve koku alamıyorum, tat ve koku alamıyorum ve koku alamıyorum."
192,COVID-19,"Hocam, iki gündür tat duyum kayboldu ve koku alamıyorum."
193,COVID-19,"Hocam, dünden beri enerjim yok ve başım ağrıyor."
194,COVID-19,"Hocam, sabahtan beri merdiven çıkınca nefes nefese kalıyorum ve başım ağrıyor."
195,COVID-19,"Doktor hanım, son birkaç gündür sulu dışkılama oldu ve ateşim 38 derece civarında."
196,COVID-19,"Hocam, son birkaç gündür burun akıntım var ve tat duyum kayboldu."
197,COVID-19,"Hocam, üç gündür enerjim yok ve geceleri artan öksürüğüm var."
198,COVID-19,"Hocam, sabahtan beri merdiven çıkınca nefes nefese kalıyorum ve koku alamıyorum."
199,COVID-19,"Doktor bey, dünden beri geceleri artan öksürüğüm var, koku alamıyorum ve nefes darlığım var."
200,COVID-19,"Doktor hanım, dünden beri koku alamıyorum ve ateşim var."
201,Grip,"Doktor bey, dünden beri bulantım var ve kuru öksürüğüm var."
202,Grip,"Doktor hanım, son birkaç gündür başım ağrıyor ve yüksek ateşim oluyor."
203,Grip,"Doktor hanım, dünden beri ishalim var ve baş ağrısı eşlik ediyor."
204,Grip,"Doktor hanım, bir haftadır kas ve eklem ağrılarım var ve balgamsız öksürüyorum."
205,Grip,"Hocam, bir haftadır baş ağrısı eşlik ediyor ve vücut ağrısı hissediyorum."
206,Grip,"Hocam, üç gündür geceleri artan öksürüğüm var ve yorgunluk hissediyorum."
207,Grip,"Doktor hanım, sabahtan beri burun akıntım var ve geceleri artan öksürüğüm var."
208,Grip,"Doktor hanım, dünden beri kas ve eklem ağrılarım var ve başım ağrıyor."
209,Grip,"Doktor hanım, iki gündür başım ağrıyor ve ateşim 38 derece civarında."
210,Grip,"Doktor hanım, üç gündür başım ağrıyor ve enerjim yok."
211,Grip,"Hocam, son birkaç gündür vücut ağrısı hissediyorum, ateşim 38 derece civarında ve balgamsız öksürüyorum."
212,Grip,"Hocam, bir haftadır ishalim var, yorgunluk hissediyorum ve boğazımda yanma var."
213,Grip,"Doktor hanım, dünden beri vücut ağrısı hissediyorum ve ateşim 38 derece civarında."
214,Grip,"Doktor hanım, bir haftadır geceleri artan öksürüğüm var ve başım ağrıyor."
215,Grip,"Hocam, son birkaç gündür balgamsız öksürüyorum ve ateşim 38 derece civarında."
216,Grip,"Hocam, sabahtan beri ateşim 38 derece civarında ve enerjim yok."
217,Grip,"Doktor hanım, sabahtan beri çok halsizim, burnum tıkalı ve ishalim var."
218,Grip,"Doktor hanım, dünden beri başım ağrıyor ve baş ağrısı eşlik ediyor."
219,Grip,"Doktor hanım, dünden beri kas ve eklem ağrılarım var, balgamsız öksürüyorum ve vücut ağrısı hissediyorum."
220,Grip,"Doktor hanım, iki gündür kuru öksürüğüm var ve ateşim 38 derece civarında."
221,Grip,"Hocam, iki gündür baş ağrısı eşlik ediyor ve vücut ağrısı hissediyorum."
222,Grip,"Hocam, üç gündür baş ağrısı eşlik ediyor ve ateşim çıkıyor."
223,Grip,"Doktor bey, son birkaç gündür vücut ağrısı hissediyorum, boğazım ağrıyor ve çok halsizim."
224,Grip,"Doktor hanım, üç gündür ishalim var, baş ağrısı eşlik ediyor ve ateşim var."
225,Grip,"Doktor hanım, sabahtan beri yutkunurken boğazım acıyor ve burun akıntım var."
226,Grip,"Doktor bey, sabahtan beri sulu dışkılama oldu ve boğazım ağrıyor."
227,Grip,"Hocam, dünden beri vücut ağrısı hissediyorum, çok halsizim ve burnum tıkalı."
228,Grip,"Doktor hanım, sabahtan beri kas ve eklem ağrılarım var ve enerjim yok."
229,Grip,"Doktor bey, sabahtan beri yüksek ateşim oluyor ve vücut ağrısı hissediyorum."
230,Grip,"Doktor bey, bir haftadır kas ve eklem ağrılarım var ve ateşim var."
231,Grip,"Doktor bey, son birkaç gündür baş ağrısı eşlik ediyor ve ateşim var."
232,Grip,"Hocam, üç gündür boğazımda yanma var ve enerjim yok."
233,Grip,"Doktor hanım, iki gündür enerjim yok ve ateşim 38 derece civarında."
234,Grip,"Doktor bey, sabahtan beri yorgunluk hissediyorum ve vücut ağrısı hissediyorum."
235,Grip,"Doktor bey, sabahtan beri ateşim 38 derece civarında ve yüksek ateşim oluyor."
236,Grip,"Doktor bey, dünden beri kas ve eklem ağrılarım var ve kas ve eklem ağrılarım var."
237,Grip,"Hocam, iki gündür yüksek ateşim oluyor ve kas ve eklem ağrılarım var."
238,Grip,"Doktor hanım, iki gündür baş ağrısı eşlik ediyor ve ateşim 38 derece civarında."
239,Grip,"Doktor bey, son birkaç gündür çok halsizim, burun akıntım var ve yutkunurken boğazım acıyor."
240,Grip,"Hocam, son birkaç gündür ateşim 38 derece civarında ve enerjim yok."
241,Grip,"Hocam, sabahtan beri başım ağrıyor, kas ve eklem ağrılarım var ve kas ve eklem ağrılarım var."
242,Grip,"Hocam, iki gündür ara sıra kusuyorum ve vücut ağrısı hissediyorum."
243,Grip,"Doktor hanım, iki gündür ara sıra kusuyorum ve çok halsizim."
244,Grip,"Hocam, üç gündür sulu dışkılama oldu ve ateşim var."
245,Grip,"Doktor bey, bir haftadır kas ve eklem ağrılarım var ve ateşim 38 derece civarında."
246,Grip,"Hocam, üç gündür vücut ağrısı hissediyorum ve enerjim yok."
247,Grip,"Hocam, dünden beri ateşim çıkıyor, baş ağrısı eşlik ediyor ve balgamsız öksürüyorum."
248,Grip,"Doktor bey, iki gündür burnum sürekli akıyor ve vücut ağrısı hissediyorum."
249,Grip,"Doktor hanım, dünden beri enerjim yok, baş ağrısı eşlik ediyor ve baş ağrısı eşlik ediyor."
250,Grip,"Doktor hanım, dünden beri boğazımda yanma var ve baş ağrısı eşlik ediyor."
251,Grip,"Doktor bey, üç gündür kas ve eklem ağrılarım var, balgamsız öksürüyorum ve ateşim çıkıyor."
252,Grip,"Doktor bey, iki gündür enerjim yok, başım ağrıyor ve burnum sürekli akıyor."
253,Grip,"Doktor bey, dünden beri yüksek ateşim oluyor, boğazımda yanma var ve burun tıkanıklığım var."
254,Grip,"Doktor hanım, iki gündür çok halsizim ve çok halsizim."
255,Grip,"Doktor hanım, bir haftadır ateşim var ve ishalim var."
256,Grip,"Doktor hanım, sabahtan beri kas ve eklem ağrılarım var ve geceleri artan öksürüğüm var."
257,Grip,"Hocam, dünden beri enerjim yok, balgamsız öksürüyorum ve çok halsizim."
258,Grip,"Doktor hanım, dünden beri kas ve eklem ağrılarım var ve kas ve eklem ağrılarım var."
259,Grip,"Hocam, son birkaç gündür balgamsız öksürüyorum ve yüksek ateşim oluyor."
260,Grip,"Doktor bey, sabahtan beri başım ağrıyor, çok halsizim ve yüksek ateşim oluyor."
261,Grip,"Doktor hanım, son birkaç gündür yutkunurken boğazım acıyor ve kas ve eklem ağrılarım var."
262,Grip,"Doktor bey, iki gündür baş ağrısı eşlik ediyor ve kas ve eklem ağrılarım var."
263,Grip,"Hocam, iki gündür vücut ağrısı hissediyorum, vücut ağrısı hissediyorum ve yutkunurken boğazım acıyor."
264,Grip,"Doktor bey, iki gündür kas ve eklem ağrılarım var ve kas ve eklem ağrılarım var."
265,Grip,"Hocam, iki gündür balgamsız öksürüyorum ve kas ve eklem ağrılarım var."
266,Grip,"Hocam, sabahtan beri ateşim var ve enerjim yok."
267,Grip,"Doktor hanım, bir haftadır enerjim yok ve geceleri artan öksürüğüm var."
268,Grip,"Doktor hanım, son birkaç gündür ateşim var ve çok halsizim."
269,Grip,"Doktor hanım, üç gündür ateşim var ve çok halsizim."
270,Grip,"Hocam, bir haftadır kas ve eklem ağrılarım var, baş ağrısı eşlik ediyor ve kuru öksürüğüm var."
271,Grip,"Doktor bey, iki gündür ateşim var, boğazımda yanma var ve yüksek ateşim oluyor."
272,Grip,"Hocam, iki gündür ateşim 38 derece civarında, kuru öksürüğüm var ve kuru öksürüğüm var."
273,Grip,"Doktor hanım, dünden beri başım ağrıyor, yüksek ateşim oluyor ve baş ağrısı eşlik ediyor."
274,Grip,"Doktor bey, bir haftadır başım ağrıyor ve baş ağrısı eşlik ediyor."
275,Grip,"Hocam, dünden beri baş ağrısı eşlik ediyor ve burnum tıkalı."
